transaction_id,account_id,description,category,amount,direction,transaction_date,posted_at
1,1,Marketing Materials,Marketing,34431,outflow,1/2/2020 0:00,1/2/2020 0:00
2,4,Banner Design,Marketing,6205,outflow,1/2/2020 0:00,1/2/2020 0:00
3,3,Tools & Hardware,Supplies,9017,outflow,1/3/2020 0:00,1/3/2020 0:00
4,3,Goods Received,Inventory,65882,outflow,1/3/2020 0:00,1/3/2020 0:00
5,2,Waste Disposal,Utilities,6629,outflow,1/4/2020 0:00,1/4/2020 0:00
6,4,Energy Cost,Utilities,1144,outflow,1/5/2020 0:00,1/5/2020 0:00
7,4,Heating Bill,Utilities,12229,outflow,1/6/2020 0:00,1/6/2020 0:00
8,3,Cash Sale,Revenue,76456,inflow,1/8/2020 0:00,1/8/2020 0:00
9,2,Monthly Payroll,Salaries,27199,outflow,1/8/2020 0:00,1/8/2020 0:00
10,2,Bonus Payment,Salaries,20003,outflow,1/9/2020 0:00,1/9/2020 0:00
11,4,Radio Ad Spot,Marketing,13984,outflow,1/9/2020 0:00,1/9/2020 0:00
12,1,Internet Service,Utilities,10261,outflow,1/9/2020 0:00,1/9/2020 0:00
13,4,Vendor Purchase,Inventory,35067,outflow,1/10/2020 0:00,1/10/2020 0:00
14,1,Accounting Services,Miscellaneous,3886,outflow,1/10/2020 0:00,1/10/2020 0:00
15,2,Heating Bill,Utilities,14127,outflow,1/10/2020 0:00,1/10/2020 0:00
16,3,Security Staff Wages,Salaries,6448,outflow,1/13/2020 0:00,1/13/2020 0:00
17,4,Merchandise Restock,Supplies,33060,outflow,1/13/2020 0:00,1/13/2020 0:00
18,1,POS Transaction,Revenue,60279,inflow,1/14/2020 0:00,1/14/2020 0:00
19,2,Freight Charges,Miscellaneous,5143,outflow,1/15/2020 0:00,1/15/2020 0:00
20,4,Permit Fee,Miscellaneous,21388,outflow,1/16/2020 0:00,1/16/2020 0:00
21,2,Retail Sales,Revenue,78110,inflow,1/16/2020 0:00,1/16/2020 0:00
22,4,Product Launch Event,Marketing,6166,outflow,1/19/2020 0:00,1/19/2020 0:00
23,1,Radio Ad Spot,Marketing,5230,outflow,1/22/2020 0:00,1/22/2020 0:00
24,1,Customs Duty,Miscellaneous,10475,outflow,1/23/2020 0:00,1/23/2020 0:00
25,4,Medical Supplies,Supplies,49873,outflow,1/24/2020 0:00,1/24/2020 0:00
26,1,Wholesale Purchase,Supplies,25601,outflow,1/25/2020 0:00,1/25/2020 0:00
27,2,Consumables,Supplies,26378,outflow,1/25/2020 0:00,1/25/2020 0:00
28,1,Conference Fee,Miscellaneous,25097,outflow,1/26/2020 0:00,1/26/2020 0:00
29,4,Manager Salary,Salaries,41435,outflow,1/28/2020 0:00,1/28/2020 0:00
30,3,Manager Salary,Salaries,27440,outflow,1/30/2020 0:00,1/30/2020 0:00
31,2,Vendor Purchase,Inventory,8409,outflow,1/30/2020 0:00,1/30/2020 0:00
32,1,Driver Salary,Salaries,45754,outflow,1/31/2020 0:00,1/31/2020 0:00
33,3,Inventory Purchase,Supplies,34446,outflow,2/1/2020 0:00,2/1/2020 0:00
34,4,Shipping Cost,Miscellaneous,825,outflow,2/2/2020 0:00,2/2/2020 0:00
35,1,Heating Bill,Utilities,10623,outflow,2/3/2020 0:00,2/3/2020 0:00
36,4,Store Rental Fee,Rent,16529,outflow,2/3/2020 0:00,2/3/2020 0:00
37,1,Merchandise Restock,Supplies,9070,outflow,2/4/2020 0:00,2/4/2020 0:00
38,2,PR Services,Marketing,38817,outflow,2/4/2020 0:00,2/4/2020 0:00
39,1,Vehicle Maintenance,Miscellaneous,8347,outflow,2/5/2020 0:00,2/5/2020 0:00
40,3,Customer Transfer,Revenue,29964,inflow,2/5/2020 0:00,2/5/2020 0:00
41,2,Inventory Restock,Inventory,10918,outflow,2/5/2020 0:00,2/5/2020 0:00
42,4,Sales Revenue,Revenue,8662,inflow,2/5/2020 0:00,2/5/2020 0:00
43,1,Online Order,Revenue,51633,inflow,2/7/2020 0:00,2/7/2020 0:00
44,3,Facebook Ads,Marketing,2800,outflow,2/9/2020 0:00,2/9/2020 0:00
45,1,Shop Rent,Rent,21374,outflow,2/10/2020 0:00,2/10/2020 0:00
46,1,Fuel Cost,Miscellaneous,3846,outflow,2/10/2020 0:00,2/10/2020 0:00
47,3,Radio Ad Spot,Marketing,16095,outflow,2/10/2020 0:00,2/10/2020 0:00
48,2,Co-working Space Fee,Rent,13173,outflow,2/10/2020 0:00,2/10/2020 0:00
49,2,Brand Campaign,Marketing,17726,outflow,2/11/2020 0:00,2/11/2020 0:00
50,3,Safety Equipment,Supplies,9647,outflow,2/12/2020 0:00,2/12/2020 0:00
51,3,Supplier Payment,Inventory,49310,outflow,2/13/2020 0:00,2/13/2020 0:00
52,1,Accommodation,Miscellaneous,9579,outflow,2/13/2020 0:00,2/13/2020 0:00
53,1,Admin Staff Salary,Salaries,40677,outflow,2/14/2020 0:00,2/14/2020 0:00
54,3,Consulting Revenue,Revenue,47817,inflow,2/14/2020 0:00,2/14/2020 0:00
55,4,Water Bill,Utilities,8198,outflow,2/15/2020 0:00,2/15/2020 0:00
56,3,Cash Sale,Revenue,77481,inflow,2/16/2020 0:00,2/16/2020 0:00
57,1,Refund Received,Revenue,15578,inflow,2/16/2020 0:00,2/16/2020 0:00
58,4,Equipment Purchase,Supplies,16027,outflow,2/17/2020 0:00,2/17/2020 0:00
59,4,Consulting Revenue,Revenue,77753,inflow,2/19/2020 0:00,2/19/2020 0:00
60,1,DSTV Subscription,Utilities,10394,outflow,2/21/2020 0:00,2/21/2020 0:00
61,4,Penalty Fee,Miscellaneous,17595,outflow,2/21/2020 0:00,2/21/2020 0:00
62,1,Security Staff Wages,Salaries,10219,outflow,2/22/2020 0:00,2/22/2020 0:00
63,4,Refund Received,Revenue,88366,inflow,2/22/2020 0:00,2/22/2020 0:00
64,2,Consumables,Supplies,30885,outflow,2/22/2020 0:00,2/22/2020 0:00
65,4,Parts & Components,Supplies,45871,outflow,2/23/2020 0:00,2/23/2020 0:00
66,2,Monthly Office Lease,Rent,10086,outflow,2/24/2020 0:00,2/24/2020 0:00
67,3,Sewage Charges,Utilities,4553,outflow,2/24/2020 0:00,2/24/2020 0:00
68,4,License Renewal,Miscellaneous,25898,outflow,2/24/2020 0:00,2/24/2020 0:00
69,2,Goods Acquisition,Inventory,11517,outflow,2/26/2020 0:00,2/26/2020 0:00
70,1,Waste Disposal,Utilities,14414,outflow,2/28/2020 0:00,2/28/2020 0:00
71,1,Vehicle Maintenance,Miscellaneous,24217,outflow,2/29/2020 0:00,2/29/2020 0:00
72,1,Broadband Internet,Utilities,8393,outflow,3/1/2020 0:00,3/1/2020 0:00
73,1,Admin Staff Salary,Salaries,7777,outflow,3/2/2020 0:00,3/2/2020 0:00
74,4,Shop Rent,Rent,8713,outflow,3/3/2020 0:00,3/3/2020 0:00
75,2,DSTV Subscription,Utilities,8515,outflow,3/4/2020 0:00,3/4/2020 0:00
76,3,Radio Ad Spot,Marketing,9750,outflow,3/4/2020 0:00,3/4/2020 0:00
77,2,Wholesale Goods,Inventory,43707,outflow,3/8/2020 0:00,3/8/2020 0:00
78,2,Storage Unit Rent,Rent,19277,outflow,3/8/2020 0:00,3/8/2020 0:00
79,1,Software License,Miscellaneous,9556,outflow,3/8/2020 0:00,3/8/2020 0:00
80,1,Telephone Bill,Utilities,7271,outflow,3/9/2020 0:00,3/9/2020 0:00
81,4,Consumables,Supplies,8150,outflow,3/9/2020 0:00,3/9/2020 0:00
82,1,Inventory Purchase,Supplies,37037,outflow,3/10/2020 0:00,3/10/2020 0:00
83,3,Bank Charges,Miscellaneous,20757,outflow,3/10/2020 0:00,3/10/2020 0:00
84,2,Retail Space Lease,Rent,7315,outflow,3/11/2020 0:00,3/11/2020 0:00
85,1,Bulk Product Order,Inventory,51991,outflow,3/12/2020 0:00,3/12/2020 0:00
86,2,Mall Kiosk Rent,Rent,16295,outflow,3/12/2020 0:00,3/12/2020 0:00
87,2,Tools & Hardware,Supplies,22708,outflow,3/14/2020 0:00,3/14/2020 0:00
88,4,Email Marketing,Marketing,38280,outflow,3/14/2020 0:00,3/14/2020 0:00
89,3,Office Rent Payment,Rent,16686,outflow,3/15/2020 0:00,3/15/2020 0:00
90,2,Retail Space Lease,Rent,6516,outflow,3/15/2020 0:00,3/15/2020 0:00
91,4,Courier Service,Miscellaneous,29359,outflow,3/17/2020 0:00,3/17/2020 0:00
92,2,Cleaning Supplies,Supplies,21783,outflow,3/17/2020 0:00,3/17/2020 0:00
93,4,SEO Services,Marketing,2601,outflow,3/18/2020 0:00,3/18/2020 0:00
94,2,Admin Staff Salary,Salaries,26078,outflow,3/18/2020 0:00,3/18/2020 0:00
